run_name,seed,phase,optimizer,lr_scaling,split,epochs,lr,lr_aux,momentum,weight_decay,weight_decay_mode,head_adamw,batch_size,dataset,model,last_k,val_seed,n_epochs_recorded,test_acc_final,test_acc_tail,test_acc_best,val_acc_tail,val_acc_best,train_loss_final,train_acc_final,epochs_to_90,epochs_to_93,epochs_to_94,epoch_seconds_median,gain_slope,gain_r2,gain_points,metrics_path
cifar10_resnet18_ef21muonsign,0,other,ef21muonsign,,,75,0.007,0.001,0.9,0.0005,,auto,128,cifar10,resnet18,,,76,93.83,93.782,93.83,,,0.000906,99.976,22,58,,,,,,centralized/cifar10_resnet18_ef21muonsign/seed0/metrics.json
cifar10_resnet18_ef21signmuon,0,other,ef21signmuon,,,75,0.008,0.001,0.9,0.0005,,auto,128,cifar10,resnet18,,,76,94.01,93.868,94.01,,,0.001058,99.978,22,54,75,,,,,centralized/cifar10_resnet18_ef21signmuon/seed0/metrics.json
cifar10_resnet18_muonusign,0,other,muonusign,,,75,0.001,0.0001,0.9,0.0005,,auto,128,cifar10,resnet18,,,76,91.79,91.804,91.84,,,0.001189,99.976,29,,,,,,,centralized/cifar10_resnet18_muonusign/seed0/metrics.json
final_adam_mup_e75_fs0,0,final,adam,mup,full,75,0.00046415888336127773,0.001,0.9,0.0,decoupled,always,128,cifar10,resnet18,5,12345,76,93.4,93.376,93.45,,,0.001187,99.968,20,60,,12.667,,,,centralized/final_adam_mup_e75_fs0/seed0/metrics.json
final_adam_scaled_mup_e75_fs0,0,final,adam,mup,full,75,0.5347110336321922,0.001,0.9,0.0,decoupled,always,128,cifar10,resnet18,5,12345,76,93.17,93.112,93.17,,,0.000905,99.976,23,61,,12.681,,,,centralized/final_adam_scaled_mup_e75_fs0/seed0/metrics.json
final_ef21muonsign_mup_e75_fs0,0,final,ef21muonsign,mup,full,75,0.015081042830223186,0.001,0.9,0.0,decoupled,always,128,cifar10,resnet18,5,12345,76,94.24,94.256,94.34,,,0.000248,99.994,10,34,65,15.257,,,,centralized/final_ef21muonsign_mup_e75_fs0/seed0/metrics.json
final_ef21muonsign_unit-gain_e75_fs0,0,final,ef21muonsign,unit-gain,full,75,0.003249112183528945,0.001,0.9,0.0005,coupled,always,128,cifar10,resnet18,5,12345,76,93.71,93.764,93.83,,,0.001025,99.966,15,50,,15.351,,,,centralized/final_ef21muonsign_unit-gain_e75_fs0/seed0/metrics.json
final_ef21muonusign_mup_e75_fs0,0,final,ef21muonusign,mup,full,75,0.017235477520255074,0.001,0.9,0.0,decoupled,always,128,cifar10,resnet18,5,12345,76,94.04,94.048,94.12,,,0.000341,99.99,10,37,66,14.825,,,,centralized/final_ef21muonusign_mup_e75_fs0/seed0/metrics.json
final_ef21muonusign_unit-gain_e75_fs0,0,final,ef21muonusign,unit-gain,full,75,0.003713271066890223,0.001,0.9,0.0005,coupled,always,128,cifar10,resnet18,5,12345,76,93.71,93.72,93.83,,,0.001048,99.964,12,47,,14.922,,,,centralized/final_ef21muonusign_unit-gain_e75_fs0/seed0/metrics.json
final_ef21signmuon_mup_e75_fs0,0,final,ef21signmuon,mup,full,75,0.017235477520255074,0.001,0.9,0.0,decoupled,always,128,cifar10,resnet18,5,12345,76,94.54,94.544,94.61,,,0.000206,99.996,10,21,54,14.823,,,,centralized/final_ef21signmuon_mup_e75_fs0/seed0/metrics.json
