optimizer,test_acc_tail[mup],n_seeds[mup],lr[mup],epochs_to_90[mup],epochs_to_93[mup],epochs_to_94[mup],test_acc_tail[unit-gain],n_seeds[unit-gain],lr[unit-gain],epochs_to_90[unit-gain],epochs_to_93[unit-gain],epochs_to_94[unit-gain],delta_test_acc_tail[unit-gain-mup]
adam,93.244,2,0.00046415888336127773,21.5,60.5,,,,,,,,
ef21muonsign,94.256,1,0.015081042830223186,10.0,34.0,65.0,93.764,1,0.003249112183528945,15.0,50.0,,-0.492
ef21muonusign,94.048,1,0.017235477520255074,10.0,37.0,66.0,93.72,1,0.003713271066890223,12.0,47.0,,-0.328
ef21signmuon,94.544,1,0.017235477520255074,10.0,21.0,54.0,93.504,1,0.003713271066890223,16.0,50.0,,-1.04
muon,94.46,1,0.03231652035047826,10.0,28.0,47.0,93.832,1,0.006962383250419168,16.0,55.0,,-0.628
muonsign,93.344,1,0.11520000000000002,16.0,57.0,,93.902,1,0.003400000000000002,20.0,57.0,,0.558
muonusign,93.942,1,0.15000000000000005,10.0,40.0,,93.68,1,0.006962383250419168,15.0,52.0,,-0.262
sgd,93.11,1,0.03231652035047826,22.0,55.0,,94.058,1,0.03231652035047826,21.0,55.0,71.0,0.948
signmuon,94.27,1,0.5347110336321922,7.0,24.0,54.0,93.92,1,0.003400000000000002,10.0,49.0,,-0.35
signsgd,92.928,1,0.11520000000000002,23.0,67.0,,93.796,1,0.003400000000000002,24.0,55.0,,0.868
