label,seeds,n_seeds,final_test_acc_mean,final_test_acc_std,final_step
dataset=cifar10 model=resnet18 optimizer=adam epochs=15 lr=0.0002 lr_aux=0.001 momentum=0.9,0,1,89.5,0.0,15
dataset=cifar10 model=resnet18 optimizer=adam epochs=15 lr=0.0005 lr_aux=0.001 momentum=0.9,0,1,90.19,0.0,15
dataset=cifar10 model=resnet18 optimizer=adam epochs=15 lr=0.001 lr_aux=0.001 momentum=0.9,0,1,89.59,0.0,15
dataset=cifar10 model=resnet18 optimizer=adam epochs=15 lr=0.002 lr_aux=0.001 momentum=0.9 scale_baselines=False,0,1,89.72,0.0,15
dataset=cifar10 model=resnet18 optimizer=adam epochs=15 lr=0.002 lr_aux=0.001 momentum=0.9 scale_baselines=True,0,1,85.35000000000001,0.0,15
dataset=cifar10 model=resnet18 optimizer=adam epochs=15 lr=0.005 lr_aux=0.001 momentum=0.9 scale_baselines=False,0,1,89.41,0.0,15
dataset=cifar10 model=resnet18 optimizer=adam epochs=15 lr=0.005 lr_aux=0.001 momentum=0.9 scale_baselines=True,0,1,89.24,0.0,15
dataset=cifar10 model=resnet18 optimizer=adam epochs=15 lr=0.01 lr_aux=0.001 momentum=0.9,0,1,90.66,0.0,15
dataset=cifar10 model=resnet18 optimizer=adam epochs=15 lr=0.02 lr_aux=0.001 momentum=0.9,0,1,90.86,0.0,15
dataset=cifar10 model=resnet18 optimizer=adam epochs=15 lr=0.05 lr_aux=0.001 momentum=0.9,0,1,89.29,0.0,15
dataset=cifar10 model=resnet18 optimizer=adam epochs=15 lr=0.1 lr_aux=0.001 momentum=0.9,0,1,88.71,0.0,15
dataset=cifar10 model=resnet18 optimizer=adam epochs=15 lr=0.2 lr_aux=0.001 momentum=0.9,0,1,88.59,0.0,15
dataset=cifar10 model=resnet18 optimizer=adam epochs=75 lr=0.0005 lr_aux=0.001 momentum=0.9,"0,1,2",3,93.34999999999998,0.15394804318340635,75
dataset=cifar10 model=resnet18 optimizer=adam epochs=75 lr=0.01 lr_aux=0.001 momentum=0.9,"0,1,2",3,93.32333333333334,0.08020806277011173,75
dataset=cifar10 model=resnet18 optimizer=ef21muonsign epochs=15 lr=0.001 lr_aux=0.001 momentum=0.9,0,1,88.44999999999999,0.0,15
dataset=cifar10 model=resnet18 optimizer=ef21muonsign epochs=15 lr=0.002 lr_aux=0.001 momentum=0.9,0,1,91.5,0.0,15
dataset=cifar10 model=resnet18 optimizer=ef21muonsign epochs=15 lr=0.005 lr_aux=0.001 momentum=0.9,0,1,92.41,0.0,15
dataset=cifar10 model=resnet18 optimizer=ef21muonsign epochs=15 lr=0.01 lr_aux=0.001 momentum=0.9,0,1,92.71000000000001,0.0,15
